feature,importance_training_only,selected_candidate,reason
icon_temperature_rmse_30d,0.002624148483800297,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_bias_7d,0.0026153830306093677,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_direction_10m_sin,0.002562222193197159,True,Ranked safe candidate
icon_weight,0.002487055382498427,True,Ranked safe candidate
gfs_wind_rmse_7d,0.0023489405583234984,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_weight,0.002328762412229268,True,Ranked safe candidate
gfs_wind_mae_30d,0.0022786549465151256,True,Ranked safe candidate
ecmwf_wind_rmse_7d,0.002211937077865354,False,Redundant rolling metric; retain only provider wind MAE 30d
wind_gusts_10m_mean,0.002189547668327344,False,Strongly correlated training-only proxy for ensemble_wind_gusts_10m
icon_temperature_rmse_7d,0.0021719780958115655,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_mae_7d,0.002151043322350088,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_speed_10m,0.002117934859594947,True,Ranked safe candidate
icon_temperature_mae_7d,0.0021027036279181073,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_temperature_weight,0.0020459980573494722,True,Ranked safe candidate
ensemble_surface_pressure,0.0020143109378208063,False,Strongly correlated training-only proxy for ecmwf_surface_pressure
gfs_temperature_mae_7d,0.0020134671716284,False,Redundant rolling metric; retain only provider wind MAE 30d
temperature_models_std,0.001914457942524822,True,Ranked safe candidate
ensemble_wind_direction_100m_sin,0.001903433187587042,True,Ranked safe candidate
gfs_temperature_weight,0.001893907909876081,True,Ranked safe candidate
relative_humidity_2m_mean,0.0018563243578683301,False,Strongly correlated training-only proxy for ensemble_relative_humidity_2m
ecmwf_temperature_bias_30d,0.0018383281561116728,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_bias_30d,0.0018310142717419178,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_temperature_rmse_90d,0.001792015899313941,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_temperature_bias_30d,0.0017895164353834117,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_temperature_rmse_7d,0.0017547544147058166,False,Redundant rolling metric; retain only provider wind MAE 30d
ensemble_temperature_2m,0.0017529916284119858,False,Strongly correlated training-only proxy for ecmwf_temperature_2m
gfs_wind_mae_7d,0.001743332039555637,False,Redundant rolling metric; retain only provider wind MAE 30d
temperature_2m_mean,0.0017198159151053873,False,Strongly correlated training-only proxy for ecmwf_temperature_2m
gfs_wind_speed_100m,0.0016706648492230444,True,Ranked safe candidate
ensemble_wind_direction_10m_cos,0.001646521730846839,True,Ranked safe candidate
icon_temperature_mae_30d,0.001612096124949126,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_n_90d,0.0016079566096349938,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_mae_7d,0.001594283592566389,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_direction_10m,0.0015883641361176641,False,Raw angle replaced by sine/cosine
icon_temperature_weight,0.0015856809818620167,True,Ranked safe candidate
ensemble_wind_direction_10m_sin,0.0015844885220910685,True,Ranked safe candidate
ecmwf_wind_direction_100m_cos,0.0015527612963828204,True,Ranked safe candidate
icon_wind_direction_10m_sin,0.0015525572792055929,True,Ranked safe candidate
ecmwf_temperature_bias_90d,0.0015273953850914862,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_temperature_n_30d,0.001489063009339297,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_gusts_10m,0.001484161135806945,True,Ranked safe candidate
ecmwf_temperature_mae_30d,0.001474374429049788,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_n_7d,0.0014695882731731457,False,Redundant rolling metric; retain only provider wind MAE 30d
wind_direction_100m_circular_dispersion,0.0014645014312926095,False,Strongly correlated training-only proxy for ensemble_wind_direction_100m_circular_dispersion
ecmwf_temperature_mae_90d,0.0014561548595896116,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_relative_humidity_2m,0.001440702647249056,True,Ranked safe candidate
ecmwf_wind_mae_30d,0.0014344552738262781,True,Ranked safe candidate
icon_wind_direction_100m,0.0013989955363594205,False,Raw angle replaced by sine/cosine
gfs_temperature_rmse_30d,0.001371372383522353,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_direction_100m,0.0013601017355499222,False,Raw angle replaced by sine/cosine
gfs_wind_mae_90d,0.0013523789340819114,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_rmse_30d,0.001310673429450774,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_rmse_7d,0.0013035789348504483,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_n_30d,0.0012993024517790467,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_temperature_bias_7d,0.0012936410665978831,False,Redundant rolling metric; retain only provider wind MAE 30d
ensemble_wind_direction_100m_cos,0.0012799636553647257,True,Ranked safe candidate
icon_wind_bias_30d,0.0012797252251467322,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_temperature_mae_7d,0.0012392672526050903,False,Redundant rolling metric; retain only provider wind MAE 30d
wind_direction_100m_mean,0.001160865297616146,False,Raw angle replaced by sine/cosine
wind_direction_10m_circular_dispersion,0.001121084107426921,True,Ranked safe candidate
gfs_weight,0.001052511627573584,True,Ranked safe candidate
ecmwf_wind_bias_90d,0.0010485071441260437,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_temperature_bias_90d,0.001046919674661942,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_direction_10m_cos,0.0010230372422627837,True,Ranked safe candidate
icon_wind_mae_30d,0.000984528652969599,True,Ranked safe candidate
icon_wind_rmse_30d,0.0009600318476460419,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_temperature_n_90d,0.0009588885715103115,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_temperature_rmse_30d,0.0009583400747387938,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_temperature_rmse_90d,0.0009480413514357351,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_mae_90d,0.0009239352845544723,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_rmse_30d,0.0009095840143593648,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_temperature_mae_90d,0.000890743755887025,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_bias_30d,0.0008890682578702309,False,Redundant rolling metric; retain only provider wind MAE 30d
ensemble_wind_direction_10m_circular_dispersion,0.0008498412883197634,False,Strongly correlated training-only proxy for wind_direction_10m_circular_dispersion
icon_wind_direction_100m_cos,0.0008372394668859648,True,Ranked safe candidate
icon_wind_direction_10m_cos,0.000817359199335123,True,Ranked safe candidate
gfs_wind_direction_100m_cos,0.000764232347559245,True,Ranked safe candidate
icon_wind_direction_100m_sin,0.0007533448481085176,True,Ranked safe candidate
gfs_temperature_n_90d,0.0007344436551724852,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_n_7d,0.0006345612220468397,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_n_30d,0.0005950717842707652,False,Redundant rolling metric; retain only provider wind MAE 30d
ensemble_wind_direction_100m,0.0005900824981509361,False,Raw angle replaced by sine/cosine
temperature_models_range,0.0005869289196672672,False,Strongly correlated training-only proxy for temperature_models_std
ecmwf_temperature_n_7d,0.0005805282086180027,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_rmse_90d,0.0005255366304002597,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_temperature_bias_30d,0.0005214496774511776,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_wind_rmse_90d,0.0004728820884602056,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_temperature_rmse_90d,0.000463213135815185,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_bias_90d,0.0004261940342177064,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_temperature_mae_90d,0.00040777703743038514,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_mae_90d,0.00040408084387479537,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_n_90d,0.00038574207047959444,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_temperature_bias_90d,0.00034454009017551566,False,Redundant rolling metric; retain only provider wind MAE 30d
target_month,0.0002651209657071687,False,Redundant horizon or raw calendar; use lead and cyclic time
icon_temperature_n_30d,0.0002475029079294327,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_rmse_90d,0.00023573547772539653,False,Redundant rolling metric; retain only provider wind MAE 30d
ecmwf_temperature_n_30d,0.00022166262520441089,False,Redundant rolling metric; retain only provider wind MAE 30d
wind_weights_cold_start,0.00020127179931103453,True,Ranked safe candidate
icon_wind_n_7d,0.00018995371084304318,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_n_90d,0.00014105704278491327,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_n_30d,5.421095614202435e-05,False,Redundant rolling metric; retain only provider wind MAE 30d
archive_nominal_lead_hours,0.0,False,Redundant horizon or raw calendar; use lead and cyclic time
best_weather_model_recent,0.0,True,Ranked safe candidate
ecmwf_api_error,0.0,False,Constant / near-constant on first training interval
ecmwf_available,0.0,False,Constant / near-constant on first training interval
ecmwf_impossible_values_count,0.0,False,Constant / near-constant on first training interval
ecmwf_missing_target_hour,0.0,False,Constant / near-constant on first training interval
ecmwf_missing_values_count,0.0,True,Ranked safe candidate
ecmwf_partial_coverage,0.0,False,Constant / near-constant on first training interval
ecmwf_quality_ok,0.0,False,Strongly correlated training-only proxy for ecmwf_missing_values_count
ecmwf_relative_humidity_2m_valid,0.0,True,Ranked safe candidate
ecmwf_surface_pressure_valid,0.0,False,Constant / near-constant on first training interval
ecmwf_temperature_2m_valid,0.0,False,Constant / near-constant on first training interval
ecmwf_wind_direction_100m_valid,0.0,False,Strongly correlated training-only proxy for ecmwf_missing_values_count
ecmwf_wind_direction_10m_valid,0.0,False,Constant / near-constant on first training interval
ecmwf_wind_gusts_10m,0.0,False,Excessive missingness on first training interval
ecmwf_wind_gusts_10m_valid,0.0,False,Constant / near-constant on first training interval
ecmwf_wind_speed_100m_valid,0.0,False,Strongly correlated training-only proxy for ecmwf_missing_values_count
ecmwf_wind_speed_10m_valid,0.0,False,Constant / near-constant on first training interval
gfs_api_error,0.0,False,Constant / near-constant on first training interval
gfs_available,0.0,False,Constant / near-constant on first training interval
gfs_impossible_values_count,0.0,False,Constant / near-constant on first training interval
gfs_missing_target_hour,0.0,False,Constant / near-constant on first training interval
gfs_missing_values_count,0.0,False,Constant / near-constant on first training interval
gfs_partial_coverage,0.0,False,Constant / near-constant on first training interval
gfs_quality_ok,0.0,False,Constant / near-constant on first training interval
gfs_relative_humidity_2m_valid,0.0,False,Constant / near-constant on first training interval
gfs_surface_pressure_valid,0.0,False,Constant / near-constant on first training interval
gfs_temperature_2m_valid,0.0,False,Constant / near-constant on first training interval
gfs_temperature_n_7d,0.0,False,Redundant rolling metric; retain only provider wind MAE 30d
gfs_wind_direction_100m_valid,0.0,False,Constant / near-constant on first training interval
gfs_wind_direction_10m_valid,0.0,False,Constant / near-constant on first training interval
gfs_wind_gusts_10m_valid,0.0,False,Constant / near-constant on first training interval
gfs_wind_speed_100m_valid,0.0,False,Constant / near-constant on first training interval
gfs_wind_speed_10m_valid,0.0,False,Constant / near-constant on first training interval
horizon_bucket,0.0,False,Redundant horizon or raw calendar; use lead and cyclic time
icon_api_error,0.0,False,Constant / near-constant on first training interval
icon_available,0.0,False,Constant / near-constant on first training interval
icon_impossible_values_count,0.0,False,Constant / near-constant on first training interval
icon_missing_target_hour,0.0,False,Constant / near-constant on first training interval
icon_missing_values_count,0.0,False,Constant / near-constant on first training interval
icon_partial_coverage,0.0,False,Constant / near-constant on first training interval
icon_quality_ok,0.0,False,Constant / near-constant on first training interval
icon_relative_humidity_2m_valid,0.0,False,Constant / near-constant on first training interval
icon_surface_pressure_valid,0.0,False,Constant / near-constant on first training interval
icon_temperature_2m_valid,0.0,False,Constant / near-constant on first training interval
icon_temperature_n_7d,0.0,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_temperature_n_90d,0.0,False,Redundant rolling metric; retain only provider wind MAE 30d
icon_wind_direction_100m_valid,0.0,False,Constant / near-constant on first training interval
icon_wind_direction_10m_valid,0.0,False,Constant / near-constant on first training interval
icon_wind_gusts_10m_valid,0.0,False,Constant / near-constant on first training interval
icon_wind_speed_100m_valid,0.0,False,Constant / near-constant on first training interval
icon_wind_speed_10m_valid,0.0,False,Constant / near-constant on first training interval
temperature_weights_cold_start,0.0,False,Constant / near-constant on first training interval
weather_critical_missing,0.0,False,Constant / near-constant on first training interval
weather_data_quality_score,0.0,False,Strongly correlated training-only proxy for ecmwf_missing_values_count
weather_models_available_count,0.0,False,Constant / near-constant on first training interval
weather_models_usable_count,0.0,False,Strongly correlated training-only proxy for ecmwf_missing_values_count
