dataset_split,turbine_id,horizon_bucket,lead_hours,rows
train,turbine_2,D1,11,1058
train,turbine_2,D1,12,1058
train,turbine_2,D1,13,1058
train,turbine_2,D1,14,1058
train,turbine_2,D1,15,1058
train,turbine_2,D1,16,1058
train,turbine_2,D1,17,1058
train,turbine_2,D1,18,1058
train,turbine_2,D1,19,1058
train,turbine_2,D1,20,1058
train,turbine_2,D1,21,1058
train,turbine_2,D1,22,1058
train,turbine_2,D1,23,1058
train,turbine_2,D1,24,1058
train,turbine_2,D2,25,1058
train,turbine_2,D2,26,1058
train,turbine_2,D2,27,1058
train,turbine_2,D2,28,1058
train,turbine_2,D2,29,1058
train,turbine_2,D2,30,1058
train,turbine_2,D2,31,1058
train,turbine_2,D2,32,1058
train,turbine_2,D2,33,1058
train,turbine_2,D2,34,1058
train,turbine_2,D2,35,1058
train,turbine_2,D2,36,1058
train,turbine_2,D2,37,1058
train,turbine_2,D2,38,1058
train,turbine_2,D2,39,1058
train,turbine_2,D2,40,1058
train,turbine_2,D2,41,1058
train,turbine_2,D2,42,1058
train,turbine_2,D2,43,1058
train,turbine_2,D2,44,1058
train,turbine_2,D2,45,1058
train,turbine_2,D2,46,1058
train,turbine_2,D2,47,1058
train,turbine_2,D2,48,1058
