turbine_id,model,period,offset_hours,samples,correlation,MAE,RMSE
turbine_1,icon,all,-4,14749,0.2154298842428181,3.589492168960607,4.5399256396287315
turbine_1,icon,all,-3,14749,0.2612633246501104,3.4831233755960858,4.408437232545326
turbine_1,icon,all,-2,14749,0.31279465520254934,3.3507284109657145,4.2548804850616
turbine_1,icon,all,-1,14749,0.3699101599674871,3.1985651004587887,4.077144388773838
turbine_1,icon,all,0,14749,0.43432075891356864,3.021842836802495,3.866629297743774
turbine_1,icon,all,1,14749,0.5034925268129307,2.825272447849571,3.626444138158593
turbine_1,icon,all,2,14749,0.5732552327916498,2.622825276289918,3.368018805953839
turbine_1,icon,all,3,14749,0.6366444697961727,2.426801591068321,3.1148233238419634
turbine_1,icon,all,4,14749,0.6832429017537335,2.271819558388139,2.9147985685702267
turbine_1,icon,all,5,14749,0.7041892246656155,2.194790833276832,2.8200339381333346
turbine_1,icon,all,6,14749,0.6941979451828217,2.223124053608154,2.8658725875366327
turbine_1,icon,2024,-6,6166,0.12537672348133552,3.806141745053519,4.800536890913416
turbine_1,icon,2024,-5,6166,0.16816207087018042,3.701742350524381,4.68619679963539
turbine_1,icon,2024,-4,6166,0.21998382321066579,3.5935095686020113,4.544218253995979
turbine_1,icon,2024,-3,6166,0.27862080563792163,3.46046653692291,4.376757240042403
turbine_1,icon,2024,-2,6166,0.34085753046914175,3.308638771759109,4.191539208039601
turbine_1,icon,2024,-1,6166,0.4055412847446246,3.145937939236674,3.9897814636505444
turbine_1,icon,2024,0,6166,0.4737782092058279,2.9600983890150285,3.765400900646356
turbine_1,icon,2024,1,6166,0.543527988806703,2.757215915234079,3.5203565296267962
turbine_1,icon,2024,2,6166,0.6103096323779522,2.5618802032652184,3.2682956709276785
turbine_1,icon,2024,3,6166,0.667563264642165,2.3913087901394743,3.0352154588979645
turbine_1,icon,2024,4,6166,0.7071597924973512,2.2440809817277545,2.862722896925603
turbine_1,icon,2024,5,6166,0.7214602663615752,2.1826300140555737,2.7975749208707845
turbine_1,icon,2024,6,6166,0.7030490225051259,2.2353459833495513,2.8819985743902317
turbine_1,icon,2025,-6,8583,0.16087865338371277,3.719817080274962,4.686124006351897
turbine_1,icon,2025,-5,8583,0.18351191721423765,3.6593137597576604,4.623587629129784
turbine_1,icon,2025,-4,8583,0.21433753259476962,3.586606081789584,4.536839332106786
turbine_1,icon,2025,-3,8583,0.25122330138338966,3.499399976698124,4.43105623659698
turbine_1,icon,2025,-2,8583,0.295305758066846,3.3809654743873545,4.299808749515004
turbine_1,icon,2025,-1,8583,0.34715531984313186,3.2363722863023807,4.138767534589697
turbine_1,icon,2025,0,8583,0.4088852897689213,3.0661998524214535,3.9377455282068534
turbine_1,icon,2025,1,8583,0.4776857529644673,2.874164045205639,3.700780487835126
turbine_1,icon,2025,2,8583,0.5496539462479886,2.6666080236125675,3.4378745541994857
turbine_1,icon,2025,3,8583,0.6174999829648854,2.4522995067769626,3.1707799182196035
turbine_1,icon,2025,4,8583,0.6691432176403117,2.2917468639558822,2.9516425149937384
turbine_1,icon,2025,5,8583,0.6948184191727206,2.203527127267079,2.8360586468480773
turbine_1,icon,2025,6,8583,0.6907468496521569,2.2143438580139034,2.8542314933505906
turbine_2,ecmwf,all,-6,15583,0.15572848416344812,3.903237395452309,4.844378505589135
turbine_2,ecmwf,all,-5,15583,0.1818903744441369,3.841059380949325,4.769752754534236
turbine_2,ecmwf,all,-4,15583,0.2143306832863875,3.760059573466812,4.675696333765409
turbine_2,ecmwf,all,-3,15583,0.2549491955208641,3.65888735587927,4.554615078022737
turbine_2,ecmwf,all,-2,15583,0.30364365404690485,3.53258903933774,4.404198923422156
turbine_2,ecmwf,all,-1,15583,0.35996491761222604,3.3818435688463926,4.223424630616052
turbine_2,ecmwf,all,0,15583,0.4241766441289815,3.197342510000214,4.008156100235768
turbine_2,ecmwf,all,1,15583,0.49551180757631197,2.984543091830841,3.7548638275112123
turbine_2,ecmwf,all,2,15583,0.5708911878598579,2.736954480309739,3.467802645144677
turbine_2,ecmwf,all,3,15583,0.6415905011179381,2.4887549466298746,3.175515448069416
turbine_2,ecmwf,all,4,15583,0.6958459272960222,2.2799926201629983,2.931350873978273
turbine_2,ecmwf,all,5,15583,0.7227155623647469,2.161565488031829,2.8017128728366596
turbine_2,ecmwf,all,6,15583,0.7161854577802536,2.1861503989390147,2.8324995417632213
turbine_2,ecmwf,2024,-6,7024,0.15784875200139806,3.976864796886864,4.963603084979274
turbine_2,ecmwf,2024,-5,7024,0.190353936303484,3.902979546317388,4.869187221846054
turbine_2,ecmwf,2024,-4,7024,0.22754043705433766,3.808919181852696,4.758550584787307
turbine_2,ecmwf,2024,-3,7024,0.2728292138324474,3.6932149297646166,4.618294898975398
turbine_2,ecmwf,2024,-2,7024,0.32656884341474846,3.556823509870919,4.445194524522205
turbine_2,ecmwf,2024,-1,7024,0.3875171275492193,3.387586607820805,4.241108174456356
turbine_2,ecmwf,2024,0,7024,0.4550420716531119,3.183982298785118,4.004502037639669
turbine_2,ecmwf,2024,1,7024,0.5275265652586406,2.9621822798025814,3.7351493700791547
turbine_2,ecmwf,2024,2,7024,0.6022007949886813,2.7113983010630216,3.4365153997630773
turbine_2,ecmwf,2024,3,7024,0.67077195336551,2.4613978264996197,3.137666380857278
turbine_2,ecmwf,2024,4,7024,0.7206914131381451,2.2606418470007594,2.900727945283842
turbine_2,ecmwf,2024,5,7024,0.7413669186910309,2.163331197798026,2.795744598541275
turbine_2,ecmwf,2024,6,7024,0.7273050330383838,2.215577780941534,2.8661104784134985
turbine_2,ecmwf,2025,-6,8559,0.15324990284229062,3.842814581142657,4.74429828880908
turbine_2,ecmwf,2025,-5,8559,0.17379976112369822,3.790244187405071,4.686575387314073
turbine_2,ecmwf,2025,-4,8559,0.2020716175080204,3.719962612454726,4.606588285152326
turbine_2,ecmwf,2025,-3,8559,0.23861556889234564,3.630716205164154,4.501682903254856
turbine_2,ecmwf,2025,-2,8559,0.28292810259969503,3.512700860692448,4.370268327889418
turbine_2,ecmwf,2025,-1,8559,0.3352600812505631,3.377130505900222,4.208857008449377
turbine_2,ecmwf,2025,0,8559,0.3966744930321143,3.2083066557619655,4.011152344082956
turbine_2,ecmwf,2025,1,8559,0.46716102557412037,3.0028936402227675,3.770965630776914
turbine_2,ecmwf,2025,2,8559,0.5433667866549321,2.757927327958874,3.49326939165835
turbine_2,ecmwf,2025,3,8559,0.6161677226597502,2.511205748335086,3.206242762838784
turbine_2,ecmwf,2025,4,8559,0.674468881726475,2.295872960236788,2.9562448121146896
turbine_2,ecmwf,2025,5,8559,0.7069816483852248,2.1601164466253846,2.806601295170982
turbine_2,ecmwf,2025,6,8559,0.7071946062937641,2.162000623125755,2.804615602804183
turbine_2,gfs,all,-6,16020,0.14557278400351253,4.17354910528506,5.199954030782385
turbine_2,gfs,all,-5,16020,0.170358891999869,4.1099787765293385,5.126245060710427
turbine_2,gfs,all,-4,16020,0.20067013356741167,4.031813566375364,5.033963772274991
turbine_2,gfs,all,-3,16020,0.237507765118398,3.9303689138576776,4.919777417037748
turbine_2,gfs,all,-2,16020,0.2805290486915586,3.8083555971702046,4.78320355582068
turbine_2,gfs,all,-1,16020,0.33161910452880733,3.667926133999168,4.6167348088359175
turbine_2,gfs,all,0,16020,0.3911838658201436,3.4989148980441116,4.416611814568423
turbine_2,gfs,all,1,16020,0.45495613938991364,3.3103901373283393,4.189942515979238
turbine_2,gfs,all,2,16020,0.5220825817623778,3.1007515605493134,3.9374318681944964
turbine_2,gfs,all,3,16020,0.5857443689213317,2.887957344985435,3.683327477479184
turbine_2,gfs,all,4,16020,0.6389180575292196,2.686280482729921,3.4556988695688875
turbine_2,gfs,all,5,16020,0.6694733640511527,2.568937578027466,3.316578889180724
turbine_2,gfs,all,6,16020,0.6672045642192947,2.5709687890137327,3.32476139552119
turbine_2,gfs,2024,-6,7461,0.15348992931141678,4.152164589197159,5.237280381512551
turbine_2,gfs,2024,-5,7461,0.18078781578095937,4.081327793414645,5.154888261054845
turbine_2,gfs,2024,-4,7461,0.21500901251126234,3.995174909529554,5.047572402197957
turbine_2,gfs,2024,-3,7461,0.25517446444035213,3.8943524103113973,4.9189878768467095
turbine_2,gfs,2024,-2,7461,0.3024069796867281,3.758770942232945,4.765034943968955
turbine_2,gfs,2024,-1,7461,0.3550086537107548,3.608226332484475,4.589786061450975
turbine_2,gfs,2024,0,7461,0.4165476095539686,3.43270205066345,4.378448155659519
turbine_2,gfs,2024,1,7461,0.4799035373536945,3.2360997185363893,4.14471614799616
turbine_2,gfs,2024,2,7461,0.5447882654245443,3.0344623151498906,3.892433943000892
turbine_2,gfs,2024,3,7461,0.6050559318409146,2.8347960505740963,3.644359583076775
turbine_2,gfs,2024,4,7461,0.6575719211503747,2.640154134834473,3.412203826067865
turbine_2,gfs,2024,5,7461,0.6878566647885742,2.5238998346959747,3.2712624671427912
turbine_2,gfs,2024,6,7461,0.6792363006714417,2.543308761113345,3.311561212254988
turbine_2,gfs,2025,-6,8559,0.13844937362397913,4.192190287027301,5.167196165456091
turbine_2,gfs,2025,-5,8559,0.16097534722890572,4.134954239202399,5.101145176501764
turbine_2,gfs,2025,-4,8559,0.1877638655573691,4.063751995949683,5.022070855763638
turbine_2,gfs,2025,-3,8559,0.22160316008117645,3.961765003699809,4.920465566910575
turbine_2,gfs,2025,-2,8559,0.2608079362546869,3.8515792343342294,4.798985274372272
turbine_2,gfs,2025,-1,8559,0.31052837503602376,3.719967285897886,4.640098727464808
turbine_2,gfs,2025,0,8559,0.3682948165097266,3.5566335631109554,4.449612587006789
turbine_2,gfs,2025,1,8559,0.4324973134253964,3.375150134361491,4.228972414579028
turbine_2,gfs,2025,2,8559,0.5016984384075713,3.158536822837559,3.9762417826578456
turbine_2,gfs,2025,3,8559,0.5684792701970942,2.934298788799315,3.71696307103616
turbine_2,gfs,2025,4,8559,0.6222714393687513,2.726489465280212,3.4931723175954117
turbine_2,gfs,2025,5,8559,0.6530742898420507,2.6081976087549172,3.3555826251472145
turbine_2,gfs,2025,6,8559,0.6566190835740952,2.595080422167699,3.3362255724618355
turbine_2,icon,all,-6,16020,0.13691621330628403,3.7756858094049104,4.755047983248858
turbine_2,icon,all,-5,16020,0.16706479107598454,3.7006602163961713,4.673579632689549
turbine_2,icon,all,-4,16020,0.20645831630126008,3.6119548481065333,4.564701090115338
turbine_2,icon,all,-3,16020,0.25258995176552473,3.5013986683312526,4.4330615655095835
turbine_2,icon,all,-2,16020,0.30402877515061827,3.3704700374531833,4.280730072045612
turbine_2,icon,all,-1,16020,0.3612957884837103,3.2199596337910945,4.103957901769348
turbine_2,icon,all,0,16020,0.42618543262558745,3.0453320848938827,3.894104453405845
turbine_2,icon,all,1,16020,0.49456473332558615,2.854919059508947,3.66028243711058
turbine_2,icon,all,2,16020,0.5638487402398539,2.655519766957969,3.4080621907519144
turbine_2,icon,all,3,16020,0.6272856107422878,2.4579671244277983,3.1591720375149204
turbine_2,icon,all,4,16020,0.673941026833989,2.3025205992509363,2.9626393485818636
turbine_2,icon,all,5,16020,0.694342366984505,2.227623595505618,2.871763621182897
turbine_2,icon,all,6,16020,0.6837910087678193,2.255807324178111,2.9178225570579768
turbine_2,icon,2024,-6,7461,0.11707082312426444,3.793702363400795,4.778017822180433
turbine_2,icon,2024,-5,7461,0.1570884252789908,3.6981901443059466,4.672897891460549
turbine_2,icon,2024,-4,7461,0.20712089519585983,3.592336594737077,4.537853635203419
turbine_2,icon,2024,-3,7461,0.2649022816675303,3.4583902962069426,4.37529437588656
turbine_2,icon,2024,-2,7461,0.3251565563761002,3.3145793682705627,4.198592354044316
turbine_2,icon,2024,-1,7461,0.3886636172454906,3.157985971496225,4.003995461869247
turbine_2,icon,2024,0,7461,0.45643812468848766,2.9782652012688207,3.786135706671274
turbine_2,icon,2024,1,7461,0.5235620893072469,2.7899200285931283,3.5582025438893905
turbine_2,icon,2024,2,7461,0.5891439241683251,2.5995621677165706,3.320373396677774
turbine_2,icon,2024,3,7461,0.6461883530242858,2.4270718849126567,3.0973382998353376
turbine_2,icon,2024,4,7461,0.686020059200844,2.281101282223116,2.9307538348481517
turbine_2,icon,2024,5,7461,0.6994225070809315,2.222553277040611,2.8710223639476635
turbine_2,icon,2024,6,7461,0.6799608846788232,2.2717160344904617,2.9532849292434853
turbine_2,icon,2025,-6,8559,0.1547060813210781,3.7599805273201703,4.734933949765232
turbine_2,icon,2025,-5,8559,0.17675553675667138,3.7028134127818673,4.674173834935112
turbine_2,icon,2025,-4,8559,0.20744314663161698,3.629056353935429,4.587976229073381
turbine_2,icon,2025,-3,8559,0.24405077737473263,3.538889667796082,4.482810784500159
turbine_2,icon,2025,-2,8559,0.2883402307158802,3.419190715426257,4.351065904100275
turbine_2,icon,2025,-1,8559,0.3405842564840193,3.2739829419324686,4.189151062627654
turbine_2,icon,2025,0,8559,0.4032066916292014,3.1037952252989056,3.9858370905145004
turbine_2,icon,2025,1,8559,0.47272267790169886,2.9115796237878255,3.7469988769055305
turbine_2,icon,2025,2,8559,0.545200194178547,2.704298788799315,3.482701031106415
turbine_2,icon,2025,3,8559,0.6140678950301629,2.4848989367916814,3.2121024602807853
turbine_2,icon,2025,4,8559,0.6664775954973438,2.321192117459205,2.9901570289287673
turbine_2,icon,2025,5,8559,0.6927141262585957,2.232043463021381,2.8724096294275028
turbine_2,icon,2025,6,8559,0.689509957781541,2.241939478911088,2.8865541151937726
